Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
ritz,2014,3.35,5.6,27000,Petrol,Dealer,Manual,0
sx4,2013,4.75,9.5,43000,Diesel,Dealer,Manual,0
ciaz,2017,7.25,9.9,6900,Petrol,Dealer,Manual,0
wagon r,2011,2.85,4.2,5200,Petrol,Dealer,Manual,0
swift,2014,4.6,6.9,42450,Diesel,Dealer,Manual,0
vitara brezza,2018,9.25,9.8,2071,Diesel,Dealer,Manual,0
ciaz,2015,6.75,8.1,18796,Petrol,Dealer,Manual,0
s cross,2015,6.5,8.6,33429,Diesel,Dealer,Manual,0
ciaz,2016,8.75,8.9,20273,Diesel,Dealer,Manual,0
ciaz,2015,7.45,8.9,42367,Diesel,Dealer,Manual,0
alto 800,2017,2.85,3.6,2135,Petrol,Dealer,Manual,0
ciaz,2015,6.85,10.4,51000,Diesel,Dealer,Manual,0
ciaz,2015,7.5,9.9,15000,Petrol,Dealer,Automatic,0
ertiga,2015,6.1,7.7,26000,Petrol,Dealer,Manual,0
dzire,2009,2.25,7.2,77427,Petrol,Dealer,Manual,0
ertiga,2016,7.75,10.8,43000,Diesel,Dealer,Manual,0
ertiga,2015,7.25,10.8,41678,Diesel,Dealer,Manual,0
ertiga,2016,7.75,10.8,43000,Diesel,Dealer,Manual,0
wagon r,2015,3.25,5.1,35500,CNG,Dealer,Manual,0
sx4,2010,2.65,8.0,41442,Petrol,Dealer,Manual,0
alto k10,2016,2.85,4.0,25000,Petrol,Dealer,Manual,0
ignis,2017,4.9,5.7,2400,Petrol,Dealer,Manual,0
sx4,2011,4.4,8.0,50000,Petrol,Dealer,Automatic,0
alto k10,2014,2.5,3.5,45280,Petrol,Dealer,Manual,0
wagon r,2013,2.9,4.4,56879,Petrol,Dealer,Manual,0
swift,2011,3,5.0,20000,Petrol,Dealer,Manual,0
swift,2013,4.15,5.9,55138,Petrol,Dealer,Manual,0
swift,2017,6,6.5,16200,Petrol,Individual,Manual,0
alto k10,2010,1.95,4.0,44542,Petrol,Dealer,Manual,0
ciaz,2015,7.45,10.4,45000,Diesel,Dealer,Manual,0
ritz,2012,3.1,6.0,51439,Diesel,Dealer,Manual,0
ritz,2011,2.35,4.9,54200,Petrol,Dealer,Manual,0
swift,2014,4.95,7.5,39000,Diesel,Dealer,Manual,0
ertiga,2014,6,10.0,45000,Diesel,Dealer,Manual,0
dzire,2014,5.5,8.1,45000,Diesel,Dealer,Manual,0
sx4,2011,2.95,7.7,49998,CNG,Dealer,Manual,0
dzire,2015,4.65,7.2,48767,Petrol,Dealer,Manual,0
800,2003,0.35,2.3,127000,Petrol,Individual,Manual,0
alto k10,2016,3,3.8,10079,Petrol,Dealer,Manual,0
sx4,2003,2.25,8.0,62000,Petrol,Dealer,Manual,0
baleno,2016,5.85,7.9,24524,Petrol,Dealer,Automatic,0
alto k10,2014,2.55,4.0,46706,Petrol,Dealer,Manual,0
sx4,2008,1.95,7.2,58000,Petrol,Dealer,Manual,0
dzire,2014,5.5,8.1,45780,Diesel,Dealer,Manual,0
omni,2012,1.25,2.7,50000,Petrol,Dealer,Manual,0
ciaz,2014,7.5,12.0,15000,Petrol,Dealer,Automatic,0
ritz,2013,2.65,4.9,64532,Petrol,Dealer,Manual,0
wagon r,2006,1.05,4.2,65000,Petrol,Dealer,Manual,0
ertiga,2015,5.8,7.7,25870,Petrol,Dealer,Manual,0
ciaz,2017,7.75,9.3,37000,Petrol,Dealer,Automatic,0
fortuner,2012,14.9,30.6,104707,Diesel,Dealer,Automatic,0
fortuner,2015,23,30.6,40000,Diesel,Dealer,Automatic,0
innova,2017,18,19.8,15000,Diesel,Dealer,Automatic,0
fortuner,2013,16,30.6,135000,Diesel,Individual,Automatic,0
innova,2005,2.75,10.2,90000,Petrol,Individual,Manual,0
corolla altis,2009,3.6,15.0,70000,Petrol,Dealer,Automatic,0
etios cross,2015,4.5,7.3,40534,Petrol,Dealer,Manual,0
corolla altis,2010,4.75,18.5,50000,Petrol,Dealer,Manual,0
etios g,2014,4.1,6.8,39485,Petrol,Dealer,Manual,1
fortuner,2014,19.99,36.0,41000,Diesel,Dealer,Automatic,0
corolla altis,2013,6.95,18.6,40001,Petrol,Dealer,Manual,0
etios cross,2015,4.5,7.7,40588,Petrol,Dealer,Manual,0
fortuner,2014,18.75,36.0,78000,Diesel,Dealer,Automatic,0
fortuner,2015,23.5,36.0,47000,Diesel,Dealer,Automatic,0
